order_id,sku,customer_id,customer_name,qty,priority,create_time,due_time,actual_completion_time,estimated_proc_hours,status,machine_type,family
WO-2024-000001,LFR-006,C012,蔚来汽车,69,P2,2024-03-23 16:00:00,2024-04-01 20:00:00,2024-04-01 14:21:56,0.06,已完工,两板,LFR
WO-2024-000002,TLP-015,C017,麦格纳,721,P2,2024-06-25 11:00:00,2024-07-04 19:00:00,2024-07-04 18:49:57,1.76,已完工,双色,TLP
WO-2025-000003,CUP-010,C012,蔚来汽车,172,P2,2025-06-17 16:00:00,2025-06-27 05:00:00,2025-06-26 21:22:50,1.35,已完工,全电动,CUP
WO-2024-000004,LRB-016,C005,比亚迪,148,P2,2024-10-07 10:00:00,2024-10-16 15:00:00,2024-10-16 09:20:16,0.94,已完工,两板,LRB
WO-2024-000005,BUM-020,C005,比亚迪,255,P2,2024-12-29 09:00:00,2025-01-02 21:00:00,2025-01-02 14:26:45,0.55,已完工,油压,BUM
WO-2024-000006,BUM-027,C013,问界,347,P1,2024-07-25 09:00:00,2024-07-29 02:00:00,2024-07-28 16:46:41,5.49,已完工,油压,BUM
WO-2024-000007,TLM-015,C016,安波福,294,P2,2024-12-01 10:00:00,2024-12-06 08:00:00,2024-12-06 13:41:38,5.25,已完工,油压,TLM
WO-2024-000008,TLM-021,C004,佛吉亚,333,P1,2024-08-15 11:00:00,2024-08-18 07:00:00,2024-08-18 10:33:08,1.1,已完工,油压,TLM
WO-2025-000009,WLC-004,C001,东风彼欧,162,P2,2025-04-20 13:00:00,2025-04-25 02:00:00,,0.93,待开工,双色,WLC
WO-2025-000010,DRH-021,C003,伟世通,228,P0,2025-05-13 15:00:00,2025-05-15 12:00:00,2025-05-15 13:58:40,1.09,已完工,全电动,DRH
WO-2026-000011,TLM-014,C020,采埃孚,60,P1,2026-03-23 13:00:00,2026-03-26 11:00:00,2026-03-26 09:45:26,0.99,已完工,油压,TLM
WO-2025-000012,TLP-010,C016,安波福,165,P1,2025-05-11 15:00:00,2025-05-13 20:00:00,2025-05-14 01:47:47,0.35,已完工,双色,TLP
WO-2025-000013,LRB-006,C011,理想汽车,114,P2,2025-11-13 18:00:00,2025-11-21 02:00:00,2025-11-21 01:12:15,0.04,已完工,两板,LRB
